Filepath,Label
..\Fruits_Vegetables\train\garlic\Image_32.jpg,garlic
..\Fruits_Vegetables\train\carrot\Image_55.jpg,carrot
..\Fruits_Vegetables\train\eggplant\Image_36.jpg,eggplant
..\Fruits_Vegetables\train\corn\Image_81.jpg,corn
..\Fruits_Vegetables\train\beetroot\Image_56.jpg,beetroot
..\Fruits_Vegetables\train\raddish\Image_39.jpg,raddish
..\Fruits_Vegetables\train\pear\Image_55.jpg,pear
..\Fruits_Vegetables\train\apple\Image_27.jpg,apple
..\Fruits_Vegetables\train\mango\Image_17.JPG,mango
..\Fruits_Vegetables\train\capsicum\Image_66.jpg,capsicum
..\Fruits_Vegetables\train\ginger\Image_72.jpg,ginger
..\Fruits_Vegetables\train\chilli pepper\Image_37.jpg,chilli pepper
..\Fruits_Vegetables\train\grapes\Image_58.jpg,grapes
..\Fruits_Vegetables\train\kiwi\Image_53.jpg,kiwi
..\Fruits_Vegetables\train\lettuce\Image_35.jpg,lettuce
..\Fruits_Vegetables\train\grapes\Image_76.jpg,grapes
..\Fruits_Vegetables\train\sweetcorn\Image_80.jpg,sweetcorn
..\Fruits_Vegetables\train\eggplant\Image_1.jpg,eggplant
..\Fruits_Vegetables\train\bell pepper\Image_26.jpg,bell pepper
..\Fruits_Vegetables\train\peas\Image_7.jpg,peas
..\Fruits_Vegetables\train\sweetpotato\Image_78.jpg,sweetpotato
..\Fruits_Vegetables\train\peas\Image_50.jpg,peas
..\Fruits_Vegetables\train\grapes\Image_32.jpg,grapes
..\Fruits_Vegetables\train\turnip\Image_45.jpg,turnip
..\Fruits_Vegetables\train\tomato\Image_17.jpg,tomato
..\Fruits_Vegetables\train\eggplant\Image_34.JPG,eggplant
..\Fruits_Vegetables\train\sweetpotato\Image_10.jpg,sweetpotato
..\Fruits_Vegetables\train\onion\Image_79.jpg,onion
..\Fruits_Vegetables\train\ginger\Image_35.jpg,ginger
..\Fruits_Vegetables\train\tomato\Image_7.jpg,tomato
..\Fruits_Vegetables\train\mango\Image_4.jpg,mango
..\Fruits_Vegetables\train\peas\Image_28.jpg,peas
..\Fruits_Vegetables\train\tomato\Image_84.jpg,tomato
..\Fruits_Vegetables\train\tomato\Image_5.jpg,tomato
..\Fruits_Vegetables\train\lemon\Image_69.jpg,lemon
..\Fruits_Vegetables\train\jalepeno\Image_34.jpg,jalepeno
..\Fruits_Vegetables\train\lemon\Image_53.jpg,lemon
..\Fruits_Vegetables\train\tomato\Image_89.jpg,tomato
..\Fruits_Vegetables\train\grapes\Image_91.jpg,grapes
..\Fruits_Vegetables\train\apple\Image_43.jpg,apple
..\Fruits_Vegetables\train\soy beans\Image_89.jpg,soy beans
..\Fruits_Vegetables\train\chilli pepper\Image_27.jpg,chilli pepper
..\Fruits_Vegetables\train\cauliflower\Image_98.jpg,cauliflower
..\Fruits_Vegetables\train\pear\Image_85.jpg,pear
..\Fruits_Vegetables\train\raddish\Image_22.jpg,raddish
..\Fruits_Vegetables\train\cauliflower\Image_31.jpg,cauliflower
..\Fruits_Vegetables\train\corn\Image_71.jpg,corn
..\Fruits_Vegetables\train\tomato\Image_13.jpg,tomato
..\Fruits_Vegetables\train\carrot\Image_2.jpg,carrot
..\Fruits_Vegetables\train\paprika\Image_81.jpg,paprika
..\Fruits_Vegetables\train\kiwi\Image_97.jpg,kiwi
..\Fruits_Vegetables\train\lettuce\Image_3.jpg,lettuce
..\Fruits_Vegetables\train\spinach\Image_18.jpg,spinach
..\Fruits_Vegetables\train\jalepeno\Image_30.jpg,jalepeno
..\Fruits_Vegetables\train\eggplant\Image_7.jpg,eggplant
..\Fruits_Vegetables\train\tomato\Image_44.jpg,tomato
..\Fruits_Vegetables\train\chilli pepper\Image_24.jpg,chilli pepper
..\Fruits_Vegetables\train\beetroot\Image_52.jpg,beetroot
..\Fruits_Vegetables\train\peas\Image_68.jpg,peas
..\Fruits_Vegetables\train\potato\Image_47.jpg,potato
..\Fruits_Vegetables\train\tomato\Image_72.jpg,tomato
..\Fruits_Vegetables\train\beetroot\Image_98.jpg,beetroot
..\Fruits_Vegetables\train\turnip\Image_80.jpg,turnip
..\Fruits_Vegetables\train\pomegranate\Image_59.jpg,pomegranate
..\Fruits_Vegetables\train\watermelon\Image_58.jpg,watermelon
..\Fruits_Vegetables\train\lettuce\Image_62.jpg,lettuce
..\Fruits_Vegetables\train\pineapple\Image_11.jpg,pineapple
..\Fruits_Vegetables\train\eggplant\Image_32.jpg,eggplant
..\Fruits_Vegetables\train\lemon\Image_34.jpg,lemon
..\Fruits_Vegetables\train\mango\Image_19.jpg,mango
..\Fruits_Vegetables\train\paprika\Image_9.jpg,paprika
..\Fruits_Vegetables\train\sweetcorn\Image_77.jpg,sweetcorn
..\Fruits_Vegetables\train\lemon\Image_44.jpg,lemon
..\Fruits_Vegetables\train\cauliflower\Image_71.jpg,cauliflower
..\Fruits_Vegetables\train\bell pepper\Image_93.jpg,bell pepper
..\Fruits_Vegetables\train\pomegranate\Image_23.jpg,pomegranate
..\Fruits_Vegetables\train\cauliflower\Image_42.jpg,cauliflower
..\Fruits_Vegetables\train\ginger\Image_53.jpg,ginger
..\Fruits_Vegetables\train\beetroot\Image_9.jpg,beetroot
..\Fruits_Vegetables\train\corn\Image_68.jpg,corn
..\Fruits_Vegetables\train\capsicum\Image_10.jpg,capsicum
..\Fruits_Vegetables\train\soy beans\Image_11.jpg,soy beans
..\Fruits_Vegetables\train\sweetcorn\Image_58.jpg,sweetcorn
..\Fruits_Vegetables\train\cauliflower\Image_57.jpg,cauliflower
..\Fruits_Vegetables\train\sweetcorn\Image_12.jpg,sweetcorn
..\Fruits_Vegetables\train\cucumber\Image_18.jpg,cucumber
..\Fruits_Vegetables\train\kiwi\Image_9.jpg,kiwi
..\Fruits_Vegetables\train\apple\Image_39.jpg,apple
..\Fruits_Vegetables\train\grapes\Image_34.jpg,grapes
..\Fruits_Vegetables\train\chilli pepper\Image_99.jpg,chilli pepper
..\Fruits_Vegetables\train\kiwi\Image_42.jpg,kiwi
..\Fruits_Vegetables\train\watermelon\Image_97.jpg,watermelon
..\Fruits_Vegetables\train\potato\Image_11.jpg,potato
..\Fruits_Vegetables\train\spinach\Image_73.jpg,spinach
..\Fruits_Vegetables\train\banana\Image_25.jpg,banana
..\Fruits_Vegetables\train\watermelon\Image_23.jpg,watermelon
..\Fruits_Vegetables\train\cucumber\Image_17.jpg,cucumber
..\Fruits_Vegetables\train\tomato\Image_41.jpg,tomato
..\Fruits_Vegetables\train\grapes\Image_61.jpg,grapes
..\Fruits_Vegetables\train\cabbage\Image_72.jpg,cabbage
..\Fruits_Vegetables\train\corn\Image_61.jpg,corn
..\Fruits_Vegetables\train\lemon\Image_85.jpg,lemon
..\Fruits_Vegetables\train\cauliflower\Image_43.jpg,cauliflower
..\Fruits_Vegetables\train\bell pepper\Image_43.jpg,bell pepper
..\Fruits_Vegetables\train\kiwi\Image_25.jpg,kiwi
..\Fruits_Vegetables\train\onion\Image_60.jpg,onion
..\Fruits_Vegetables\train\eggplant\Image_2.jpg,eggplant
..\Fruits_Vegetables\train\tomato\Image_1.jpg,tomato
..\Fruits_Vegetables\train\soy beans\Image_30.jpg,soy beans
..\Fruits_Vegetables\train\spinach\Image_6.jpg,spinach
..\Fruits_Vegetables\train\capsicum\Image_39.jpg,capsicum
..\Fruits_Vegetables\train\paprika\Image_73.jpg,paprika
..\Fruits_Vegetables\train\tomato\Image_40.jpg,tomato
..\Fruits_Vegetables\train\beetroot\Image_51.jpg,beetroot
..\Fruits_Vegetables\train\tomato\Image_39.jpg,tomato
..\Fruits_Vegetables\train\garlic\Image_13.jpg,garlic
..\Fruits_Vegetables\train\apple\Image_40.jpg,apple
..\Fruits_Vegetables\train\sweetpotato\Image_97.jpg,sweetpotato
..\Fruits_Vegetables\train\peas\Image_91.jpg,peas
..\Fruits_Vegetables\train\apple\Image_21.jpg,apple
..\Fruits_Vegetables\train\potato\Image_86.jpg,potato
..\Fruits_Vegetables\train\eggplant\Image_92.jpg,eggplant
..\Fruits_Vegetables\train\turnip\Image_37.jpg,turnip
..\Fruits_Vegetables\train\ginger\Image_57.jpg,ginger
..\Fruits_Vegetables\train\eggplant\Image_5.jpg,eggplant
..\Fruits_Vegetables\train\paprika\Image_45.jpg,paprika
..\Fruits_Vegetables\train\paprika\Image_42.jpg,paprika
..\Fruits_Vegetables\train\tomato\Image_99.jpg,tomato
..\Fruits_Vegetables\train\chilli pepper\Image_79.jpg,chilli pepper
..\Fruits_Vegetables\train\paprika\Image_1.jpg,paprika
..\Fruits_Vegetables\train\cucumber\Image_48.jpg,cucumber
..\Fruits_Vegetables\train\pear\Image_59.jpg,pear
..\Fruits_Vegetables\train\garlic\Image_48.jpg,garlic
..\Fruits_Vegetables\train\apple\Image_62.jpg,apple
..\Fruits_Vegetables\train\turnip\Image_32.jpg,turnip
..\Fruits_Vegetables\train\watermelon\Image_20.jpg,watermelon
..\Fruits_Vegetables\train\chilli pepper\Image_78.JPG,chilli pepper
..\Fruits_Vegetables\train\bell pepper\Image_89.jpg,bell pepper
..\Fruits_Vegetables\train\peas\Image_78.jpg,peas
..\Fruits_Vegetables\train\pomegranate\Image_57.jpg,pomegranate
..\Fruits_Vegetables\train\sweetpotato\Image_67.jpg,sweetpotato
..\Fruits_Vegetables\train\banana\Image_1.jpg,banana
..\Fruits_Vegetables\train\watermelon\Image_51.jpg,watermelon
..\Fruits_Vegetables\train\lemon\Image_77.jpg,lemon
..\Fruits_Vegetables\train\chilli pepper\Image_90.jpg,chilli pepper
..\Fruits_Vegetables\train\pomegranate\Image_43.jpg,pomegranate
..\Fruits_Vegetables\train\beetroot\Image_29.jpg,beetroot
..\Fruits_Vegetables\train\pear\Image_52.jpg,pear
..\Fruits_Vegetables\train\ginger\Image_28.jpg,ginger
..\Fruits_Vegetables\train\beetroot\Image_3.jpg,beetroot
..\Fruits_Vegetables\train\peas\Image_12.jpg,peas
..\Fruits_Vegetables\train\peas\Image_14.jpg,peas
..\Fruits_Vegetables\train\watermelon\Image_2.jpg,watermelon
..\Fruits_Vegetables\train\spinach\Image_88.jpg,spinach
..\Fruits_Vegetables\train\banana\Image_84.jpg,banana
..\Fruits_Vegetables\train\peas\Image_39.JPG,peas
..\Fruits_Vegetables\train\pineapple\Image_63.jpg,pineapple
..\Fruits_Vegetables\train\turnip\Image_67.jpg,turnip
..\Fruits_Vegetables\train\grapes\Image_26.jpg,grapes
..\Fruits_Vegetables\train\eggplant\Image_45.jpg,eggplant
..\Fruits_Vegetables\train\cabbage\Image_31.jpg,cabbage
..\Fruits_Vegetables\train\kiwi\Image_67.jpg,kiwi
..\Fruits_Vegetables\train\peas\Image_93.jpg,peas
..\Fruits_Vegetables\train\turnip\Image_64.jpg,turnip
..\Fruits_Vegetables\train\cabbage\Image_69.JPG,cabbage
..\Fruits_Vegetables\train\pineapple\Image_52.jpg,pineapple
..\Fruits_Vegetables\train\paprika\Image_80.jpg,paprika
..\Fruits_Vegetables\train\grapes\Image_57.jpg,grapes
..\Fruits_Vegetables\train\eggplant\Image_69.jpg,eggplant
..\Fruits_Vegetables\train\grapes\Image_3.jpg,grapes
..\Fruits_Vegetables\train\sweetcorn\Image_28.JPG,sweetcorn
..\Fruits_Vegetables\train\jalepeno\Image_60.jpg,jalepeno
..\Fruits_Vegetables\train\bell pepper\Image_56.jpg,bell pepper
..\Fruits_Vegetables\train\pineapple\Image_74.jpg,pineapple
..\Fruits_Vegetables\train\carrot\Image_8.JPG,carrot
..\Fruits_Vegetables\train\paprika\Image_66.jpg,paprika
..\Fruits_Vegetables\train\lemon\Image_98.jpg,lemon
..\Fruits_Vegetables\train\pineapple\Image_82.jpg,pineapple
..\Fruits_Vegetables\train\capsicum\Image_48.jpg,capsicum
..\Fruits_Vegetables\train\mango\Image_16.jpg,mango
..\Fruits_Vegetables\train\mango\Image_54.jpg,mango
..\Fruits_Vegetables\train\cauliflower\Image_36.jpg,cauliflower
..\Fruits_Vegetables\train\mango\Image_71.jpg,mango
..\Fruits_Vegetables\train\bell pepper\Image_34.jpg,bell pepper
..\Fruits_Vegetables\train\pineapple\Image_76.jpg,pineapple
..\Fruits_Vegetables\train\jalepeno\Image_13.jpg,jalepeno
..\Fruits_Vegetables\train\lettuce\Image_63.jpg,lettuce
..\Fruits_Vegetables\train\turnip\Image_43.jpg,turnip
..\Fruits_Vegetables\train\pear\Image_32.jpg,pear
..\Fruits_Vegetables\train\turnip\Image_56.jpg,turnip
..\Fruits_Vegetables\train\bell pepper\Image_39.jpg,bell pepper
..\Fruits_Vegetables\train\capsicum\Image_42.jpg,capsicum
..\Fruits_Vegetables\train\grapes\Image_51.jpg,grapes
..\Fruits_Vegetables\train\lemon\Image_16.jpg,lemon
..\Fruits_Vegetables\train\jalepeno\Image_4.jpg,jalepeno
..\Fruits_Vegetables\train\cucumber\Image_33.jpg,cucumber
..\Fruits_Vegetables\train\grapes\Image_18.jpg,grapes
..\Fruits_Vegetables\train\sweetpotato\Image_100.jpg,sweetpotato
..\Fruits_Vegetables\train\orange\Image_25.jpg,orange
..\Fruits_Vegetables\train\pear\Image_45.jpg,pear
..\Fruits_Vegetables\train\cucumber\Image_8.jpg,cucumber
..\Fruits_Vegetables\train\carrot\Image_69.jpg,carrot
..\Fruits_Vegetables\train\mango\Image_10.jpg,mango
..\Fruits_Vegetables\train\lemon\Image_32.jpg,lemon
..\Fruits_Vegetables\train\watermelon\Image_4.jpg,watermelon
..\Fruits_Vegetables\train\carrot\Image_96.jpg,carrot
..\Fruits_Vegetables\train\cabbage\Image_53.jpg,cabbage
..\Fruits_Vegetables\train\beetroot\Image_91.jpg,beetroot
..\Fruits_Vegetables\train\cucumber\Image_81.jpg,cucumber
..\Fruits_Vegetables\train\beetroot\Image_92.jpg,beetroot
..\Fruits_Vegetables\train\turnip\Image_31.jpg,turnip
..\Fruits_Vegetables\train\ginger\Image_13.jpg,ginger
..\Fruits_Vegetables\train\garlic\Image_58.jpg,garlic
..\Fruits_Vegetables\train\banana\Image_21.JPG,banana
..\Fruits_Vegetables\train\tomato\Image_82.jpg,tomato
..\Fruits_Vegetables\train\kiwi\Image_27.jpg,kiwi
..\Fruits_Vegetables\train\garlic\Image_9.jpg,garlic
..\Fruits_Vegetables\train\beetroot\Image_41.jpg,beetroot
..\Fruits_Vegetables\train\grapes\Image_60.jpg,grapes
..\Fruits_Vegetables\train\corn\Image_53.jpg,corn
..\Fruits_Vegetables\train\raddish\Image_27.jpg,raddish
..\Fruits_Vegetables\train\cucumber\Image_74.jpg,cucumber
..\Fruits_Vegetables\train\pomegranate\Image_50.jpg,pomegranate
..\Fruits_Vegetables\train\banana\Image_66.jpg,banana
..\Fruits_Vegetables\train\corn\Image_3.jpg,corn
..\Fruits_Vegetables\train\chilli pepper\Image_62.jpg,chilli pepper
..\Fruits_Vegetables\train\sweetcorn\Image_60.jpg,sweetcorn
..\Fruits_Vegetables\train\kiwi\Image_16.jpg,kiwi
..\Fruits_Vegetables\train\garlic\Image_95.jpg,garlic
..\Fruits_Vegetables\train\sweetpotato\Image_9.jpg,sweetpotato
..\Fruits_Vegetables\train\soy beans\Image_99.jpg,soy beans
..\Fruits_Vegetables\train\lemon\Image_24.jpg,lemon
..\Fruits_Vegetables\train\soy beans\Image_93.jpg,soy beans
..\Fruits_Vegetables\train\bell pepper\Image_29.jpg,bell pepper
..\Fruits_Vegetables\train\grapes\Image_6.JPG,grapes
..\Fruits_Vegetables\train\peas\Image_72.jpg,peas
..\Fruits_Vegetables\train\capsicum\Image_14.jpg,capsicum
..\Fruits_Vegetables\train\cauliflower\Image_60.jpg,cauliflower
..\Fruits_Vegetables\train\corn\Image_28.jpg,corn
..\Fruits_Vegetables\train\capsicum\Image_6.jpg,capsicum
..\Fruits_Vegetables\train\ginger\Image_26.jpg,ginger
..\Fruits_Vegetables\train\jalepeno\Image_29.jpg,jalepeno
..\Fruits_Vegetables\train\raddish\Image_56.jpg,raddish
..\Fruits_Vegetables\train\paprika\Image_98.jpg,paprika
..\Fruits_Vegetables\train\cucumber\Image_66.jpg,cucumber
..\Fruits_Vegetables\train\sweetpotato\Image_53.jpg,sweetpotato
..\Fruits_Vegetables\train\bell pepper\Image_33.jpg,bell pepper
..\Fruits_Vegetables\train\pomegranate\Image_46.jpg,pomegranate
..\Fruits_Vegetables\train\soy beans\Image_76.jpg,soy beans
..\Fruits_Vegetables\train\pear\Image_80.jpg,pear
..\Fruits_Vegetables\train\spinach\Image_33.jpg,spinach
..\Fruits_Vegetables\train\soy beans\Image_100.jpg,soy beans
..\Fruits_Vegetables\train\kiwi\Image_28.jpg,kiwi
..\Fruits_Vegetables\train\eggplant\Image_63.jpg,eggplant
..\Fruits_Vegetables\train\cucumber\Image_50.JPG,cucumber
..\Fruits_Vegetables\train\turnip\Image_36.jpg,turnip
..\Fruits_Vegetables\train\orange\Image_63.jpg,orange
..\Fruits_Vegetables\train\pomegranate\Image_79.jpg,pomegranate
..\Fruits_Vegetables\train\chilli pepper\Image_18.jpg,chilli pepper
..\Fruits_Vegetables\train\cabbage\Image_78.jpg,cabbage
..\Fruits_Vegetables\train\lettuce\Image_33.jpg,lettuce
..\Fruits_Vegetables\train\corn\Image_73.jpg,corn
..\Fruits_Vegetables\train\onion\Image_24.jpg,onion
..\Fruits_Vegetables\train\corn\Image_75.jpg,corn
..\Fruits_Vegetables\train\lemon\Image_10.jpg,lemon
..\Fruits_Vegetables\train\eggplant\Image_64.jpg,eggplant
..\Fruits_Vegetables\train\chilli pepper\Image_63.jpg,chilli pepper
..\Fruits_Vegetables\train\tomato\Image_56.jpg,tomato
..\Fruits_Vegetables\train\chilli pepper\Image_61.jpg,chilli pepper
..\Fruits_Vegetables\train\onion\Image_43.jpg,onion
..\Fruits_Vegetables\train\bell pepper\Image_69.jpg,bell pepper
..\Fruits_Vegetables\train\kiwi\Image_21.jpg,kiwi
..\Fruits_Vegetables\train\cucumber\Image_45.jpg,cucumber
..\Fruits_Vegetables\train\paprika\Image_79.jpg,paprika
..\Fruits_Vegetables\train\paprika\Image_55.JPG,paprika
..\Fruits_Vegetables\train\soy beans\Image_1.jpg,soy beans
..\Fruits_Vegetables\train\grapes\Image_49.JPG,grapes
..\Fruits_Vegetables\train\onion\Image_53.jpg,onion
..\Fruits_Vegetables\train\cauliflower\Image_14.jpg,cauliflower
..\Fruits_Vegetables\train\pineapple\Image_64.jpg,pineapple
..\Fruits_Vegetables\train\cucumber\Image_10.jpg,cucumber
..\Fruits_Vegetables\train\chilli pepper\Image_83.jpg,chilli pepper
..\Fruits_Vegetables\train\onion\Image_70.jpg,onion
..\Fruits_Vegetables\train\chilli pepper\Image_1.jpg,chilli pepper
..\Fruits_Vegetables\train\kiwi\Image_11.jpg,kiwi
..\Fruits_Vegetables\train\soy beans\Image_81.jpg,soy beans
..\Fruits_Vegetables\train\chilli pepper\Image_48.jpg,chilli pepper
..\Fruits_Vegetables\train\pomegranate\Image_52.jpg,pomegranate
..\Fruits_Vegetables\train\eggplant\Image_18.jpg,eggplant
..\Fruits_Vegetables\train\cucumber\Image_97.jpg,cucumber
..\Fruits_Vegetables\train\orange\Image_98.jpg,orange
..\Fruits_Vegetables\train\pomegranate\Image_14.jpg,pomegranate
..\Fruits_Vegetables\train\bell pepper\Image_37.jpg,bell pepper
..\Fruits_Vegetables\train\onion\Image_30.jpg,onion
..\Fruits_Vegetables\train\orange\Image_52.jpg,orange
..\Fruits_Vegetables\train\banana\Image_91.jpg,banana
..\Fruits_Vegetables\train\soy beans\Image_12.jpg,soy beans
..\Fruits_Vegetables\train\raddish\Image_17.jpg,raddish
..\Fruits_Vegetables\train\onion\Image_58.jpg,onion
..\Fruits_Vegetables\train\potato\Image_66.jpg,potato
..\Fruits_Vegetables\train\eggplant\Image_35.jpg,eggplant
..\Fruits_Vegetables\train\paprika\Image_7.jpg,paprika
..\Fruits_Vegetables\train\spinach\Image_9.jpg,spinach
..\Fruits_Vegetables\train\capsicum\Image_87.jpg,capsicum
..\Fruits_Vegetables\train\banana\Image_24.jpg,banana
..\Fruits_Vegetables\train\carrot\Image_88.jpg,carrot
..\Fruits_Vegetables\train\jalepeno\Image_50.jpg,jalepeno
..\Fruits_Vegetables\train\peas\Image_66.JPG,peas
..\Fruits_Vegetables\train\watermelon\Image_88.jpg,watermelon
..\Fruits_Vegetables\train\capsicum\Image_99.jpg,capsicum
..\Fruits_Vegetables\train\capsicum\Image_83.jpg,capsicum
..\Fruits_Vegetables\train\chilli pepper\Image_66.jpg,chilli pepper
..\Fruits_Vegetables\train\ginger\Image_95.jpg,ginger
..\Fruits_Vegetables\train\bell pepper\Image_20.jpg,bell pepper
..\Fruits_Vegetables\train\watermelon\Image_47.jpg,watermelon
..\Fruits_Vegetables\train\pomegranate\Image_33.jpg,pomegranate
..\Fruits_Vegetables\train\sweetpotato\Image_11.jpg,sweetpotato
..\Fruits_Vegetables\train\eggplant\Image_14.jpg,eggplant
..\Fruits_Vegetables\train\ginger\Image_21.jpg,ginger
..\Fruits_Vegetables\train\bell pepper\Image_40.jpg,bell pepper
..\Fruits_Vegetables\train\soy beans\Image_64.jpg,soy beans
..\Fruits_Vegetables\train\eggplant\Image_16.jpg,eggplant
..\Fruits_Vegetables\train\paprika\Image_11.jpg,paprika
..\Fruits_Vegetables\train\eggplant\Image_21.jpg,eggplant
..\Fruits_Vegetables\train\peas\Image_96.jpg,peas
..\Fruits_Vegetables\train\carrot\Image_77.jpg,carrot
..\Fruits_Vegetables\train\eggplant\Image_71.jpg,eggplant
..\Fruits_Vegetables\train\eggplant\Image_30.jpg,eggplant
..\Fruits_Vegetables\train\pineapple\Image_6.jpg,pineapple
..\Fruits_Vegetables\train\spinach\Image_85.jpg,spinach
..\Fruits_Vegetables\train\corn\Image_15.jpg,corn
..\Fruits_Vegetables\train\grapes\Image_33.jpg,grapes
..\Fruits_Vegetables\train\ginger\Image_32.jpg,ginger
..\Fruits_Vegetables\train\pear\Image_67.jpg,pear
..\Fruits_Vegetables\train\ginger\Image_34.jpg,ginger
..\Fruits_Vegetables\train\pear\Image_54.jpg,pear
..\Fruits_Vegetables\train\corn\Image_67.jpg,corn
..\Fruits_Vegetables\train\cucumber\Image_31.jpg,cucumber
..\Fruits_Vegetables\train\potato\Image_67.jpg,potato
..\Fruits_Vegetables\train\corn\Image_26.jpg,corn
..\Fruits_Vegetables\train\jalepeno\Image_80.jpg,jalepeno
..\Fruits_Vegetables\train\cabbage\Image_22.jpg,cabbage
..\Fruits_Vegetables\train\jalepeno\Image_90.jpg,jalepeno
..\Fruits_Vegetables\train\lemon\Image_84.jpg,lemon
..\Fruits_Vegetables\train\garlic\Image_96.jpg,garlic
..\Fruits_Vegetables\train\spinach\Image_8.jpg,spinach
..\Fruits_Vegetables\train\tomato\Image_78.jpg,tomato
..\Fruits_Vegetables\train\beetroot\Image_83.jpg,beetroot
..\Fruits_Vegetables\train\peas\Image_98.jpg,peas
..\Fruits_Vegetables\train\mango\Image_34.jpg,mango
..\Fruits_Vegetables\train\pomegranate\Image_24.jpg,pomegranate
..\Fruits_Vegetables\train\paprika\Image_71.jpg,paprika
..\Fruits_Vegetables\train\turnip\Image_96.jpg,turnip
..\Fruits_Vegetables\train\grapes\Image_8.jpg,grapes
..\Fruits_Vegetables\train\cabbage\Image_16.jpg,cabbage
..\Fruits_Vegetables\train\banana\Image_5.jpg,banana
..\Fruits_Vegetables\train\ginger\Image_30.jpg,ginger
..\Fruits_Vegetables\train\cucumber\Image_85.jpg,cucumber
..\Fruits_Vegetables\train\chilli pepper\Image_4.jpg,chilli pepper
..\Fruits_Vegetables\train\raddish\Image_97.jpg,raddish
..\Fruits_Vegetables\train\spinach\Image_66.jpg,spinach
..\Fruits_Vegetables\train\spinach\Image_72.jpg,spinach
..\Fruits_Vegetables\train\corn\Image_79.jpg,corn
..\Fruits_Vegetables\train\lemon\Image_2.jpg,lemon
..\Fruits_Vegetables\train\onion\Image_98.jpg,onion
..\Fruits_Vegetables\train\lemon\Image_99.jpg,lemon
..\Fruits_Vegetables\train\raddish\Image_82.jpg,raddish
..\Fruits_Vegetables\train\bell pepper\Image_52.jpg,bell pepper
..\Fruits_Vegetables\train\watermelon\Image_86.jpg,watermelon
..\Fruits_Vegetables\train\cabbage\Image_37.jpg,cabbage
..\Fruits_Vegetables\train\cabbage\Image_34.jpg,cabbage
..\Fruits_Vegetables\train\paprika\Image_97.jpg,paprika
..\Fruits_Vegetables\train\beetroot\Image_36.jpg,beetroot
..\Fruits_Vegetables\train\grapes\Image_65.jpg,grapes
..\Fruits_Vegetables\train\banana\Image_3.jpg,banana
..\Fruits_Vegetables\train\sweetpotato\Image_58.jpg,sweetpotato
..\Fruits_Vegetables\train\cabbage\Image_13.jpg,cabbage
..\Fruits_Vegetables\train\potato\Image_33.jpg,potato
..\Fruits_Vegetables\train\turnip\Image_19.jpg,turnip
..\Fruits_Vegetables\train\banana\Image_41.jpg,banana
..\Fruits_Vegetables\train\paprika\Image_89.jpg,paprika
..\Fruits_Vegetables\train\soy beans\Image_85.jpg,soy beans
..\Fruits_Vegetables\train\soy beans\Image_21.jpg,soy beans
..\Fruits_Vegetables\train\cabbage\Image_27.jpg,cabbage
..\Fruits_Vegetables\train\kiwi\Image_12.jpg,kiwi
..\Fruits_Vegetables\train\cauliflower\Image_28.jpg,cauliflower
..\Fruits_Vegetables\train\chilli pepper\Image_9.jpg,chilli pepper
..\Fruits_Vegetables\train\sweetcorn\Image_78.jpg,sweetcorn
..\Fruits_Vegetables\train\capsicum\Image_62.jpg,capsicum
..\Fruits_Vegetables\train\turnip\Image_99.jpg,turnip
..\Fruits_Vegetables\train\eggplant\Image_67.jpg,eggplant
..\Fruits_Vegetables\train\pineapple\Image_22.jpg,pineapple
..\Fruits_Vegetables\train\peas\Image_75.jpg,peas
..\Fruits_Vegetables\train\capsicum\Image_68.jpg,capsicum
..\Fruits_Vegetables\train\tomato\Image_29.jpg,tomato
..\Fruits_Vegetables\train\bell pepper\Image_45.jpg,bell pepper
..\Fruits_Vegetables\train\spinach\Image_78.jpg,spinach
..\Fruits_Vegetables\train\tomato\Image_26.jpg,tomato
..\Fruits_Vegetables\train\sweetcorn\Image_37.jpg,sweetcorn
..\Fruits_Vegetables\train\watermelon\Image_24.jpg,watermelon
..\Fruits_Vegetables\train\capsicum\Image_64.jpg,capsicum
..\Fruits_Vegetables\train\carrot\Image_28.jpg,carrot
..\Fruits_Vegetables\train\capsicum\Image_76.jpg,capsicum
..\Fruits_Vegetables\train\bell pepper\Image_98.jpg,bell pepper
..\Fruits_Vegetables\train\potato\Image_43.jpg,potato
..\Fruits_Vegetables\train\lemon\Image_5.jpg,lemon
..\Fruits_Vegetables\train\eggplant\Image_13.jpg,eggplant
..\Fruits_Vegetables\train\onion\Image_100.jpg,onion
..\Fruits_Vegetables\train\sweetpotato\Image_40.jpg,sweetpotato
..\Fruits_Vegetables\train\peas\Image_62.jpg,peas
..\Fruits_Vegetables\train\pineapple\Image_4.jpg,pineapple
..\Fruits_Vegetables\train\kiwi\Image_13.jpg,kiwi
..\Fruits_Vegetables\train\eggplant\Image_12.jpg,eggplant
..\Fruits_Vegetables\train\cauliflower\Image_11.jpg,cauliflower
..\Fruits_Vegetables\train\kiwi\Image_54.jpg,kiwi
..\Fruits_Vegetables\train\potato\Image_57.jpg,potato
..\Fruits_Vegetables\train\banana\Image_9.jpg,banana
..\Fruits_Vegetables\train\pear\Image_3.jpg,pear
..\Fruits_Vegetables\train\carrot\Image_27.jpg,carrot
..\Fruits_Vegetables\train\soy beans\Image_87.jpg,soy beans
..\Fruits_Vegetables\train\jalepeno\Image_81.jpg,jalepeno
..\Fruits_Vegetables\train\grapes\Image_31.jpg,grapes
